DATE,CHQ.NO.,WITHDRAWAL (DR),DEPOSIT (CR),BALANCE
01-12-2024,,,,4682.1
02-12-2024,,500.1,,4182
05-12-2024,,,1,4183
05-12-2024,,,100,4283
06-12-2024,,,20,4303
08-12-2024,,,1000,5303
08-12-2024,,5000,,303
09-12-2024,,,2000,2303
10-12-2024,,,60,2363
10-12-2024,,245,,2118
11-12-2024,,500,,1618
12-12-2024,,,200,1818
13-12-2024,,,60,1878
20-12-2024,,60,,1818
22-12-2024,,100,,1718
25-12-2024,,200,,1518
26-12-2024,,,35,1553
28-12-2024,,,2900,4453
28-12-2024,,4106,,347
28-12-2024,,109,,238
29-12-2024,,,30,268
29-12-2024,,,15,283
29-12-2024,,65,,218
31-12-2024,,,,218
