DATE,CHQ.NO.,WITHDRAWAL (DR),DEPOSIT (CR),BALANCE
01-01-2025,,,,218.00
02-01-2025,,50,,168.00
04-01-2025,,50,,118.00
09-01-2025,,,35,153.00
09-01-2025,,,15,168.00
09-01-2025,,50,,118.00
12-01-2025,,,15000,15118.00
12-01-2025,,,150,15268.00
12-01-2025,,150,,15118.00
12-01-2025,,3559,,11559.00
13-01-2025,,1000,,10559.00
13-01-2025,,441,,10118.00
13-01-2025,,5000,,5118.00
13-01-2025,,3320,,1798.00
13-01-2025,,,1000,2798.00
13-01-2025,,1000,,1798.00
14-01-2025,,,50000,51798.00
14-01-2025,,50000,,1798.00
14-01-2025,,,20,1818.00
14-01-2025,,16,,1802.00
15-01-2025,,500,,1302.00
16-01-2025,,,1100,2402.00
16-01-2025,,,600,3002.00
16-01-2025,,1220,,1782.00
17-01-2025,,,1220,3002.00
18-01-2025,,2000,,1002.00
18-01-2025,,,2000,3002.00
25-01-2025,,100,,2902.00
27-01-2025,,,806,3708.00
27-01-2025,,806,,2902.00
28-01-2025,,190,,2712.00
28-01-2025,,160,,2552.00
28-01-2025,,106,,2446.00
29-01-2025,,158,,2288.00
29-01-2025,,100,,2188.00
29-01-2025,,500,,1688.00
31-01-2025,,,,1688.00
