DATE,CHQ.NO.,WITHDRAWAL (DR),DEPOSIT (CR),BALANCE
01-11-2024,,,,118
03-11-2024,,,56,174
04-11-2024,,5,,169
04-11-2024,,5,,164
05-11-2024,,,300,464
05-11-2024,,30,,434
05-11-2024,,10,,424
06-11-2024,,,200000,200424
06-11-2024,,80,,200344
06-11-2024,,50,,200294
07-11-2024,,200000,,294
10-11-2024,,20,,274
11-11-2024,,20,,254
11-11-2024,,15,,239
13-11-2024,,25,,214
14-11-2024,,,2000,2214
14-11-2024,,2000,,214
14-11-2024,,,500,714
15-11-2024,,15,,699
16-11-2024,,10,,689
16-11-2024,,25,,664
17-11-2024,,5,,659
17-11-2024,,20,,639
17-11-2024,,15,,624
17-11-2024,,15,,609
17-11-2024,,5,,604
17-11-2024,,20,,584
18-11-2024,,10,,574
19-11-2024,,20,,554
20-11-2024,,25,,529
20-11-2024,,5,,524
21-11-2024,,5,,519
21-11-2024,,,4000,4519
21-11-2024,,2000,,2519
21-11-2024,,15,,2504
23-11-2024,,680,,1824
24-11-2024,,20,,1804
25-11-2024,,,806,2610
25-11-2024,,806,,1804
25-11-2024,,500,,1304
25-11-2024,,2,,1302
26-11-2024,,75,,1227
26-11-2024,,15,,1212
27-11-2024,,200,,1012
27-11-2024,,,5,1017
27-11-2024,,5,,1012
27-11-2024,,10,,1002
28-11-2024,,15,,987
29-11-2024,,479,,508
29-11-2024,,20,,488
30-11-2024,,195.9,,292.1
30-11-2024,,110,,182.1
30-11-2024,,,4000,4182.1
30-11-2024,,,300,4482.1
30-11-2024,,,200,4682.1
30-11-2024,,,,4682.1
